feature,bin,woe,coefficient,points,bad_rate,iv
oldest_trade_months,MISSING,-0.45485681464149286,-0.03700234420161762,-1.2140833065366794,0.04484691677447176,0.1769071835780484
bureau_file_thin_flag,0,0.3802735999018789,-0.49451314863789886,13.56496141839847,0.019997683665984634,0.21481495928453254
bureau_file_thin_flag,1,-0.575147917770921,-0.49451314863789886,-20.516436892931445,0.05038153902730532,0.21481495928453254
verified_income,"(-inf, 116300.616]",-0.20456119424108923,-0.293968294558828,-4.337787636630916,0.03535709254824623,0.022763680177921627
verified_income,"(116300.616, 153611.602]",-0.08244946737503232,-0.293968294558828,-1.7483681670566829,0.03141287505282434,0.022763680177921627
verified_income,"(153611.602, 195411.592]",0.004130103469335365,-0.293968294558828,0.08758020715392752,0.02887730666291027,0.022763680177921627
verified_income,"(195411.592, 256767.538]",0.06073817758331115,-0.293968294558828,1.2879731014957982,0.02732779264685167,0.022763680177921627
verified_income,"(256767.538, inf]",0.25778792834965253,-0.293968294558828,5.466478100190939,0.02253838568812509,0.022763680177921627
verified_income,MISSING,0.11244826025182786,-0.293968294558828,2.384502470718648,0.025680933852140077,0.022763680177921627
debt_to_income_est,"(-inf, 0.155]",-0.017037897440219166,-0.9446894283912844,-1.161046459194101,0.029467680608365018,0.018360362404280576
debt_to_income_est,"(0.155, 0.219]",0.1281593830269824,-0.9446894283912844,8.733413168970479,0.025578231292517007,0.018360362404280576
debt_to_income_est,"(0.219, 0.289]",0.11830303208282185,-0.9446894283912844,8.06175274816771,0.025825744189207557,0.018360362404280576
debt_to_income_est,"(0.289, 0.393]",0.0459910903814663,-0.9446894283912844,3.134059987697076,0.02771362586605081,0.018360362404280576
debt_to_income_est,"(0.393, inf]",-0.2332355087895576,-0.9446894283912844,-15.893819210298467,0.03633641807294502,0.018360362404280576
income_stability_score,"(-inf, 49.0]",-0.2443705432937965,-0.172734042643763,-3.0448880865453978,0.03673259696891857,0.021940840460012483
income_stability_score,"(49.0, 57.0]",-0.0007737912060393342,-0.172734042643763,-0.009641536958528237,0.02900662251655629,0.021940840460012483
income_stability_score,"(57.0, 64.0]",0.047172658065210114,-0.172734042643763,0.5877773262579812,0.027685634090329165,0.021940840460012483
income_stability_score,"(64.0, 70.0]",0.10043752623597171,-0.172734042643763,1.251464366187234,0.026270523846755277,0.021940840460012483
income_stability_score,"(70.0, inf]",0.17604619274701166,-0.172734042643763,2.1935579786005177,0.024407155734294826,0.021940840460012483
requested_amount_to_income,"(-inf, 1.756]",0.21408929234864083,-1.153582115415616,17.81508932604096,0.02352444006198056,0.03443354894284441
requested_amount_to_income,"(1.756, 2.505]",0.18991221805660397,-1.153582115415616,15.803233742654053,0.024087899704183686,0.03443354894284441
requested_amount_to_income,"(2.505, 3.307]",-0.015727942923164092,-1.153582115415616,-1.3087749742978723,0.029440766305113397,0.03443354894284441
requested_amount_to_income,"(3.307, 4.422]",-0.030381668779472924,-1.153582115415616,-2.528160737245466,0.02986336103676574,0.03443354894284441
requested_amount_to_income,"(4.422, inf]",-0.2954335173827241,-1.153582115415616,-24.58401559620606,0.03859698549091421,0.03443354894284441
requested_amount_to_income,MISSING,0.11244826025182786,-1.153582115415616,9.357197545788107,0.025680933852140077,0.03443354894284441
bureau_debt_to_income,"(-inf, 0.491]",-0.40434001595874586,-0.1652465350201721,-4.8197401995639675,0.04285069914298602,0.07631460556722786
bureau_debt_to_income,"(0.491, 1.017]",0.015061439522319302,-0.1652465350201721,0.17953262764977068,0.028567132761990677,0.07631460556722786
bureau_debt_to_income,"(1.017, 1.68]",0.19105183135406617,-0.1652465350201721,2.2773412361725236,0.024056532852202675,0.07631460556722786
